Iteration,Timestep,StratumId,SecondaryStratumId,TertiaryStratumId,StateClassId,StateAttributeTypeId,AgeMin,AgeMax,TSTGroupId,TSTMin,TSTMax,Value,DistributionType,DistributionFrequencyId,DistributionSD,DistributionMin,DistributionMax
,,,,,,NPP,,10,,,,5.0956,,,,,
,,,,,,NPP,11,20,,,,5.107,,,,,
,,,,,,NPP,21,30,,,,5.1088,,,,,
,,,,,,NPP,31,40,,,,5.1093,,,,,
,,,,,,NPP,41,60,,,,5.1076,,,,,
,,,,,,NPP,61,80,,,,5.1072,,,,,
,,,,,,NPP,81,,,,,5.1057,,,,,
,,,,,Aquaculture:All,Initial_soil_carbon,,,,,,10,,,,,
,,,,,Cropland:All,Initial_soil_carbon,,,,,,7,,,,,
,,,,,Mangrove:All,Initial_biomass_carbon,,,,,,33.6053,,,,,
,,,,,Mangrove:All,Initial_biomass_carbon,21,30,,,,48.2799,,,,,
,,,,,Mangrove:All,Initial_biomass_carbon,31,40,,,,51.2827,,,,,
,,,,,Mangrove:All,Initial_biomass_carbon,41,60,,,,53.6705,,,,,
,,,,,Mangrove:All,Initial_biomass_carbon,61,80,,,,54.4189,,,,,
,,,,,Mangrove:All,Initial_biomass_carbon,81,,,,,54.685,,,,,
,,,,,Mangrove:All,Initial_soil_carbon,,,,,,24.6076,,,,,
,,,,,Mangrove:All,Initial_soil_carbon,21,30,,,,26.1685,,,,,
,,,,,Mangrove:All,Initial_soil_carbon,31,40,,,,27.119,,,,,
,,,,,Mangrove:All,Initial_soil_carbon,41,60,,,,28.0018,,,,,
,,,,,Mangrove:All,Initial_soil_carbon,61,80,,,,28.5956,,,,,
,,,,,Mangrove:All,Initial_soil_carbon,81,,,,,29.1329,,,,,
,,,,,Other_vegetation:All,Initial_biomass_carbon,,,,,,20,,,,,
,,,,,Other_vegetation:All,Initial_soil_carbon,,,,,,20,,,,,
,,,,,Water_body:All,Phytoplankton_carbon,,,,,,5,,,,,
