Iteration,Timestep,StratumId,TransitionGroupId,MaximumArea,RelativeAmount
,,,Agriculture_expansion,0.0318,1
,,,Agriculture_expansion,0.0423,1
,,,Agriculture_expansion,0.1919,1
,,,Agriculture_expansion,0.2009,1
,,,Agriculture_expansion,0.3445,1
,,,Agriculture_expansion,0.3744,1
,,,Agriculture_expansion,0.3837,1
,,,Agriculture_expansion,0.396,1
,,,Agriculture_expansion,0.4024,1
,,,Agriculture_expansion,0.4379,1
,,,Agriculture_expansion,0.5425,1
,,,Agriculture_expansion,0.582,1
,,,Agriculture_expansion,0.6729,1
,,,Agriculture_expansion,0.7118,1
,,,Agriculture_expansion,0.7837,1
,,,Agriculture_expansion,0.8608,1
,,,Agriculture_expansion,0.9271,1
,,,Agriculture_expansion,0.9968,1
,,,Agriculture_expansion,1.0267,1
,,,Agriculture_expansion,1.0537,1
,,,Agriculture_expansion,1.1241,1
,,,Agriculture_expansion,1.1477,1
,,,Agriculture_expansion,1.1517,1
,,,Agriculture_expansion,1.1727,1
,,,Agriculture_expansion,1.2462,1
,,,Agriculture_expansion,1.5411,1
,,,Agriculture_expansion,1.9021,1
,,,Agriculture_expansion,1.9181,1
,,,Agriculture_expansion,1.976,1
,,,Agriculture_expansion,2.0557,1
,,,Agriculture_expansion,2.097,1
,,,Agriculture_expansion,2.1035,1
,,,Agriculture_expansion,2.1457,1
,,,Agriculture_expansion,2.2632,1
,,,Agriculture_expansion,2.3651,1
,,,Agriculture_expansion,2.4473,1
,,,Agriculture_expansion,2.4792,1
,,,Agriculture_expansion,2.5753,1
,,,Agriculture_expansion,2.6395,1
,,,Agriculture_expansion,2.8105,1
,,,Agriculture_expansion,2.8495,1
,,,Agriculture_expansion,3.0066,1
,,,Agriculture_expansion,3.0145,1
,,,Agriculture_expansion,3.0422,1
,,,Agriculture_expansion,3.0684,1
,,,Agriculture_expansion,3.1375,1
,,,Agriculture_expansion,3.2083,1
,,,Agriculture_expansion,3.4842,1
,,,Aquaculture_expansion,0.0897,1
,,,Aquaculture_expansion,0.1074,1
,,,Aquaculture_expansion,0.1136,1
,,,Aquaculture_expansion,0.1163,1
,,,Aquaculture_expansion,0.119,2
,,,Aquaculture_expansion,0.1387,1
,,,Aquaculture_expansion,0.143,1
,,,Aquaculture_expansion,0.1518,1
,,,Aquaculture_expansion,0.1536,1
,,,Aquaculture_expansion,0.1616,1
,,,Aquaculture_expansion,0.1723,1
,,,Aquaculture_expansion,0.1891,1
,,,Aquaculture_expansion,0.1936,1
,,,Aquaculture_expansion,0.1985,1
,,,Aquaculture_expansion,0.2158,1
,,,Aquaculture_expansion,0.238,1
,,,Aquaculture_expansion,0.2397,1
,,,Aquaculture_expansion,0.2584,1
,,,Aquaculture_expansion,0.2823,1
,,,Aquaculture_expansion,0.2872,1
,,,Aquaculture_expansion,0.3703,1
,,,Aquaculture_expansion,0.38,1
,,,Aquaculture_expansion,0.402,1
,,,Aquaculture_expansion,0.4102,1
,,,Aquaculture_expansion,0.4351,1
,,,Aquaculture_expansion,0.4884,1
,,,Aquaculture_expansion,0.5303,1
,,,Aquaculture_expansion,0.5935,1
,,,Aquaculture_expansion,0.7278,1
,,,Aquaculture_expansion,0.7431,1
,,,Aquaculture_expansion,0.7441,1
,,,Aquaculture_expansion,0.7939,1
,,,Aquaculture_expansion,0.7961,1
,,,Aquaculture_expansion,0.7977,1
,,,Aquaculture_expansion,0.8213,1
,,,Aquaculture_expansion,0.8383,1
,,,Aquaculture_expansion,0.8565,1
,,,Aquaculture_expansion,0.8701,1
,,,Aquaculture_expansion,0.9256,1
,,,Aquaculture_expansion,0.9806,1
,,,Aquaculture_expansion,1.0588,1
,,,Aquaculture_expansion,1.0667,1
,,,Aquaculture_expansion,1.0885,1
,,,Aquaculture_expansion,1.2718,1
,,,Aquaculture_expansion,1.3029,1
,,,Aquaculture_expansion,1.371,1
,,,Aquaculture_expansion,1.407,1
,,,Aquaculture_expansion,1.4072,1
,,,Aquaculture_expansion,1.4225,1
,,,Aquaculture_expansion,1.4389,1
,,,Aquaculture_expansion,1.5499,1
,,,Aquaculture_expansion,1.5618,1
,,,Aquaculture_expansion,1.6013,1
,,,Aquaculture_expansion,1.6451,1
,,,Aquaculture_expansion,1.7219,1
,,,Aquaculture_expansion,1.7794,1
,,,Aquaculture_expansion,1.8622,1
,,,Aquaculture_expansion,1.9197,1
,,,Aquaculture_expansion,1.9295,1
,,,Aquaculture_expansion,2.1482,1
,,,Aquaculture_expansion,2.21,1
,,,Aquaculture_expansion,2.2646,1
,,,Aquaculture_expansion,2.3363,1
,,,Aquaculture_expansion,2.521,1
,,,Aquaculture_expansion,2.5291,1
,,,Aquaculture_expansion,2.7755,1
,,,Aquaculture_expansion,2.8057,1
,,,Aquaculture_expansion,2.99,1
,,,Aquaculture_expansion,3.1105,1
,,,Aquaculture_expansion,5.0389,1
,,,Inundation,0.0018,1
,,,Inundation,0.0021,1
,,,Inundation,0.0027,3
,,,Inundation,0.0036,1
,,,Inundation,0.0044,1
,,,Inundation,0.0053,4
,,,Inundation,0.0062,2
,,,Inundation,0.008,2
,,,Inundation,0.0098,1
,,,Inundation,0.0107,1
,,,Inundation,0.0124,1
,,,Inundation,0.0133,1
,,,Inundation,0.0142,1
,,,Inundation,0.0195,1
,,,Inundation,0.0222,1
,,,Inundation,0.0231,1
,,,Inundation,0.0249,1
,,,Inundation,0.0266,1
,,,Inundation,0.0391,1
,,,Inundation,0.0408,2
,,,Inundation,0.0426,2
,,,Inundation,0.0444,1
,,,Inundation,0.0453,2
,,,Inundation,0.0479,1
,,,Inundation,0.0613,1
,,,Inundation,0.0666,2
,,,Inundation,0.0701,1
,,,Inundation,0.0799,1
,,,Inundation,0.0897,1
,,,Inundation,0.0941,1
,,,Inundation,0.1385,1
,,,Inundation,0.1438,1
,,,Inundation,0.1474,1
,,,Inundation,0.1507,1
,,,Inundation,0.1554,1
,,,Inundation,0.1616,1
,,,Inundation,0.1779,1
,,,Inundation,0.1829,1
,,,Inundation,0.2042,1
,,,Inundation,0.206,1
,,,Inundation,0.2084,1
,,,Inundation,0.2202,1
,,,Inundation,0.2229,1
,,,Inundation,0.2291,1
,,,Inundation,0.2369,1
,,,Inundation,0.2424,1
,,,Inundation,0.2451,1
,,,Inundation,0.2528,1
,,,Inundation,0.2708,1
,,,Inundation,0.301,1
,,,Inundation,0.3232,1
,,,Inundation,0.3765,1
,,,Inundation,0.3774,1
,,,Inundation,0.4413,1
,,,Inundation,0.4517,1
,,,Inundation,0.4786,1
,,,Inundation,0.5345,1
,,,Inundation,0.5752,1
,,,Mangrove_recruitment,0.0018,1
,,,Mangrove_recruitment,0.0027,3
,,,Mangrove_recruitment,0.0044,2
,,,Mangrove_recruitment,0.0053,1
,,,Mangrove_recruitment,0.008,1
,,,Mangrove_recruitment,0.0089,2
,,,Mangrove_recruitment,0.0098,1
,,,Mangrove_recruitment,0.0115,3
,,,Mangrove_recruitment,0.0133,1
,,,Mangrove_recruitment,0.0135,1
,,,Mangrove_recruitment,0.0151,2
,,,Mangrove_recruitment,0.016,1
,,,Mangrove_recruitment,0.0169,1
,,,Mangrove_recruitment,0.0186,1
,,,Mangrove_recruitment,0.0213,1
,,,Mangrove_recruitment,0.024,1
,,,Mangrove_recruitment,0.0249,1
,,,Mangrove_recruitment,0.0311,1
,,,Mangrove_recruitment,0.0329,1
,,,Mangrove_recruitment,0.0346,1
,,,Mangrove_recruitment,0.0355,1
,,,Mangrove_recruitment,0.0364,2
,,,Mangrove_recruitment,0.0391,1
,,,Mangrove_recruitment,0.0408,1
,,,Mangrove_recruitment,0.0506,1
,,,Mangrove_recruitment,0.0542,1
,,,Mangrove_recruitment,0.0559,1
,,,Mangrove_recruitment,0.0582,1
,,,Mangrove_recruitment,0.0586,1
,,,Mangrove_recruitment,0.0648,1
,,,Mangrove_recruitment,0.071,1
,,,Mangrove_recruitment,0.0719,1
,,,Mangrove_recruitment,0.0781,1
,,,Mangrove_recruitment,0.0826,2
,,,Mangrove_recruitment,0.0897,1
,,,Mangrove_recruitment,0.0923,1
,,,Mangrove_recruitment,0.1048,1
,,,Mangrove_recruitment,0.1074,1
,,,Mangrove_recruitment,0.1216,1
,,,Mangrove_recruitment,0.1234,1
,,,Mangrove_recruitment,0.127,1
,,,Mangrove_recruitment,0.1287,1
,,,Mangrove_recruitment,0.1358,1
,,,Mangrove_recruitment,0.1394,1
,,,Mangrove_recruitment,0.1438,1
,,,Mangrove_recruitment,0.1474,1
,,,Mangrove_recruitment,0.158,1
,,,Mangrove_recruitment,0.1616,1
,,,Mangrove_recruitment,0.1678,1
,,,Mangrove_recruitment,0.1918,1
,,,Mangrove_recruitment,0.1936,1
,,,Mangrove_recruitment,0.2025,1
,,,Mangrove_recruitment,0.214,2
,,,Mangrove_recruitment,0.2202,1
,,,Mangrove_recruitment,0.2229,1
,,,Mangrove_recruitment,0.2255,1
,,,Mangrove_recruitment,0.2326,1
,,,Mangrove_recruitment,0.238,1
,,,Mangrove_recruitment,0.2388,1
,,,Mangrove_recruitment,0.242,1
,,,Mangrove_recruitment,0.2655,1
,,,Mangrove_recruitment,0.2664,1
,,,Mangrove_recruitment,0.267,1
,,,Mangrove_recruitment,0.2681,1
,,,Mangrove_recruitment,0.2699,1
,,,Mangrove_recruitment,0.2733,1
,,,Mangrove_recruitment,0.2859,1
,,,Mangrove_recruitment,0.2983,1
,,,Mangrove_recruitment,0.3081,1
,,,Mangrove_recruitment,0.3197,1
,,,Mangrove_recruitment,0.3303,1
,,,Mangrove_recruitment,0.3401,1
,,,Mangrove_recruitment,0.3862,1
,,,Mangrove_recruitment,0.4164,1
,,,Mangrove_recruitment,0.4226,1
,,,Mangrove_recruitment,0.4235,2
,,,Mangrove_recruitment,0.452,1
,,,Mangrove_recruitment,0.4724,1
,,,Mangrove_recruitment,0.8471,1
,,,Sedimentation,0.0009,7
,,,Sedimentation,0.0016,1
,,,Sedimentation,0.0018,8
,,,Sedimentation,0.0027,3
,,,Sedimentation,0.0036,1
,,,Sedimentation,0.0044,1
,,,Sedimentation,0.0053,1
,,,Sedimentation,0.0062,1
,,,Sedimentation,0.1509,1
,,,Sedimentation,0.2939,1
,,,Sedimentation,0.3294,1
,,,Sedimentation,0.3392,1
,,,Sedimentation,0.3516,1
,,,Sedimentation,0.4653,1
,,,Sedimentation,0.4715,1
,,,Sedimentation,0.4733,1
,,,Sedimentation,0.5221,1
,,,Sedimentation,0.5718,1
,,,Sedimentation,0.578,1
,,,Sedimentation,0.6082,1
,,,Sedimentation,0.7059,1
,,,Sedimentation,0.7201,1
,,,Sedimentation,0.7396,1
,,,Sedimentation,0.8444,1
,,,Sedimentation,0.8613,1
,,,Sedimentation,1.2245,1
,,,Sedimentation,1.2377,1
,,,Sedimentation,1.3399,1
,,,Sedimentation,1.3576,1
,,,Sedimentation,1.4037,1
,,,Sedimentation,2.3867,1
,,,Urbanization,0.0007,1
,,,Urbanization,0.0009,10
,,,Urbanization,0.0014,1
,,,Urbanization,0.0018,2
,,,Urbanization,0.0027,2
,,,Urbanization,0.0036,2
,,,Urbanization,0.0044,3
,,,Urbanization,0.0053,2
,,,Urbanization,0.0062,1
,,,Urbanization,0.0071,1
,,,Urbanization,0.008,2
,,,Urbanization,0.0089,1
,,,Urbanization,0.0098,2
,,,Urbanization,0.0099,1
,,,Urbanization,0.0151,1
,,,Urbanization,0.0169,2
,,,Urbanization,0.0178,1
,,,Urbanization,0.0195,1
,,,Urbanization,0.02,1
,,,Urbanization,0.0249,1
,,,Urbanization,0.0284,1
,,,Urbanization,0.0315,1
,,,Urbanization,0.0402,1
,,,Urbanization,0.0446,1
,,,Urbanization,0.0459,1
,,,Urbanization,0.047,1
,,,Urbanization,0.0479,1
,,,Urbanization,0.0524,1
,,,Urbanization,0.0533,1
,,,Urbanization,0.0559,1
,,,Urbanization,0.0568,1
,,,Urbanization,0.0646,1
,,,Urbanization,0.0668,1
,,,Urbanization,0.069,1
,,,Urbanization,0.0721,1
,,,Urbanization,0.0737,1
,,,Urbanization,0.0755,1
,,,Urbanization,0.079,1
,,,Urbanization,0.0826,1
,,,Urbanization,0.0892,1
,,,Urbanization,0.1192,1
,,,Urbanization,0.1254,1
,,,Urbanization,0.1409,1
,,,Urbanization,0.1412,1
,,,Urbanization,0.1429,1
,,,Urbanization,0.1483,1
,,,Urbanization,0.1602,1
,,,Urbanization,0.1631,1
,,,Urbanization,0.1651,1
,,,Urbanization,0.1671,1
,,,Urbanization,0.1676,1
,,,Urbanization,0.1682,1
,,,Urbanization,0.1809,1
,,,Urbanization,0.1862,1
,,,Urbanization,0.19,1
,,,Urbanization,0.1951,1
,,,Urbanization,0.2146,1
,,,Urbanization,0.2191,1
,,,Urbanization,0.2195,1
,,,Urbanization,0.2222,1
,,,Urbanization,0.2262,1
,,,Urbanization,0.2466,1
,,,Urbanization,0.2612,1
,,,Urbanization,0.3915,1
